"id","urls"
"1","outlook.office.com,outlook.office365.com"
"2","smtp.office365.com"
"3","r1.res.office365.com,r3.res.office365.com,r4.res.office365.com"
"5","*.outlook.office.com,outlook.office365.com"
"6","*.outlook.office.com,outlook.office365.com"
"8","*.outlook.com,attachments.office.net"
"9","*.protection.outlook.com"
"10","*.mail.protection.outlook.com"
"11",""
"12","*.lync.com,*.teams.microsoft.com,teams.microsoft.com"
"13","*.broadcast.skype.com,broadcast.skype.com"
"15","*.sfbassets.com"
"16","*.keydelivery.mediaservices.windows.net,*.streaming.mediaservices.windows.net,mlccdn.blob.core.windows.net"
"17","aka.ms"
"18","*.users.storage.live.com"
"19","*.adl.windows.com"
"22","*.skypeforbusiness.com"
"26","*.msedge.net,compass-ssl.microsoft.com"
"27","*.mstea.ms,*.secure.skypeassets.com,mlccdnprod.azureedge.net"
"31","*.sharepoint.com"
"32","ssw.live.com,storage.live.com"
"33","*.search.production.apac.trafficmanager.net,*.search.production.emea.trafficmanager.net,*.search.production.us.trafficmanager.net"
"35","*.wns.windows.com,admin.onedrive.com,officeclient.microsoft.com"
"36","g.live.com,oneclient.sfx.ms"
"37","*.sharepointonline.com,spoprod-a.akamaihd.net"
"39","*.gr.global.aa-rt.sharepoint.com,*.svc.ms,*-admin.sharepoint.com,*-files.sharepoint.com,*-myfiles.sharepoint.com"
"41","*.microsoftstream.com"
"43","nps.onyx.azure.net"
"44","*.azureedge.net,*.media.azure.net,*.streaming.mediaservices.windows.net"
"45","*.keydelivery.mediaservices.windows.net"
"46","*.officeapps.live.com,*.online.office.com,office.live.com"
"47","*.cdn.office.net,contentstorage.osi.office.net"
"49","*.onenote.com"
"50","*.microsoft.com,*.office.net"
"51","*cdn.onenote.net"
"53","ajax.aspnetcdn.com,apis.live.net,officeapps.live.com,www.onedrive.com"
"56","*.msftidentity.com,*.msidentity.com,account.activedirectory.windowsazure.com,accounts.accesscontrol.windows.net,adminwebservice.microsoftonline.com,api.passwordreset.microsoftonline.com,autologon.microsoftazuread-sso.com,becws.microsoftonline.com,clientconfig.microsoftonline-p.net,companymanager.microsoftonline.com,device.login.microsoftonline.com,graph.microsoft.com,graph.windows.net,login.microsoft.com,login.microsoftonline.com,login.microsoftonline-p.com,login.windows.net,logincert.microsoftonline.com,loginex.microsoftonline.com,login-us.microsoftonline.com,nexus.microsoftonline-p.com,passwordreset.microsoftonline.com,provisioningapi.microsoftonline.com"
"59","*.hip.live.com,*.microsoftonline.com,*.microsoftonline-p.com,*.msauth.net,*.msauthimages.net,*.msecnd.net,*.msftauth.net,*.msftauthimages.net,*.phonefactor.net,enterpriseregistration.windows.net,management.azure.com,policykeyservice.dc.ad.msft.net"
"64","*.compliance.microsoft.com,*.protection.office.com,*.security.microsoft.com,compliance.microsoft.com,protection.office.com,security.microsoft.com"
"65","account.office.net"
"66","*.portal.cloudappsecurity.com,suite.office.net"
"67","*.blob.core.windows.net"
"68","firstpartyapps.oaspapps.com,prod.firstpartyapps.oaspapps.com.akadns.net,telemetryservice.firstpartyapps.oaspapps.com,wus-firstpartyapps.oaspapps.com"
"69","*.aria.microsoft.com,*.events.data.microsoft.com"
"70","*.o365weve.com,amp.azure.net,appsforoffice.microsoft.com,assets.onestore.ms,auth.gfx.ms,c1.microsoft.com,dgps.support.microsoft.com,docs.microsoft.com,msdn.microsoft.com,platform.linkedin.com,prod.msocdn.com,shellprod.msocdn.com,support.content.office.net,support.microsoft.com,technet.microsoft.com,videocontent.osi.office.net,videoplayercdn.osi.office.net"
"71","*.office365.com"
"72","*.cloudapp.net"
"73","*.aadrm.com,*.azurerms.com,*.informationprotection.azure.com,ecn.dev.virtualearth.net,informationprotection.hosting.portal.azure.net"
"75","*.sharepointonline.com,dc.services.visualstudio.com,mem.gfx.ms,staffhub.ms"
"78","*.microsoft.com,*.msocdn.com,*.office.net,*.onmicrosoft.com"
"79","o15.officeredir.microsoft.com,officepreviewredir.microsoft.com,officeredir.microsoft.com,r.office.microsoft.com"
"83","activation.sls.microsoft.com"
"84","crl.microsoft.com"
"86","office15client.microsoft.com,officeclient.microsoft.com"
"88","insertmedia.bing.office.net"
"89","go.microsoft.com"
"91","ajax.aspnetcdn.com,cdn.odc.officeapps.live.com"
"92","officecdn.microsoft.com,officecdn.microsoft.com.edgesuite.net"
"93","*.virtualearth.net,c.bing.net,excelbingmap.firstpartyapps.oaspapps.com,ocos-office365-s2s.msedge.net,peoplegraph.firstpartyapps.oaspapps.com,tse1.mm.bing.net,wikipedia.firstpartyapps.oaspapps.com,www.bing.com"
"95","*.acompli.net,*.outlookmobile.com"
"96","login.windows-ppe.net"
"97","account.live.com,login.live.com"
"105","www.acompli.com"
"114","*.appex.bing.com,*.appex-rf.msn.com,c.bing.com,c.live.com,d.docs.live.net,directory.services.live.com,docs.live.net,partnerservices.getmicrosoftkey.com,signup.live.com"
"116","account.live.com,auth.gfx.ms,login.live.com"
"117","*.yammer.com,*.yammerusercontent.com"
"118","*.assets-yammer.com"
"121","www.outlook.com"
"122","eus-www.sway-cdn.com,eus-www.sway-extensions.com,wus-www.sway-cdn.com,wus-www.sway-extensions.com"
"124","sway.com,www.sway.com"
"125","*.entrust.net,*.geotrust.com,*.omniroot.com,*.public-trust.com,*.symcb.com,*.symcd.com,*.verisign.com,*.verisign.net,apps.identrust.com,cacerts.digicert.com,cert.int-x3.letsencrypt.org,crl.globalsign.com,crl.globalsign.net,crl.identrust.com,crl3.digicert.com,crl4.digicert.com,isrg.trustid.ocsp.identrust.com,mscrl.microsoft.com,ocsp.digicert.com,ocsp.globalsign.com,ocsp.msocsp.com,ocsp2.globalsign.com,ocspx.digicert.com,secure.globalsign.com,www.digicert.com,www.microsoft.com"
"126","officespeech.platform.bing.com"
"127","*.skype.com"
"128","*.config.office.net,*.manage.microsoft.com"
"147","*.office.com"
"148","cdnprod.myanalytics.microsoft.com,myanalytics.microsoft.com,myanalytics-gcc.microsoft.com"
"149","workplaceanalytics.cdn.office.net"
"152","*.microsoftusercontent.com"
"153","*.azure-apim.net,*.flow.microsoft.com,*.powerapps.com"
"154","autodiscover.*.onmicrosoft.com"
"156","*.activity.windows.com,activity.windows.com"
"157","ocsp.int-x3.letsencrypt.org"
"158","*.cortana.ai"
"159","admin.microsoft.com"
"160","cdn.odc.officeapps.live.com,cdn.uci.officeapps.live.com"
